word,explanation,example_sentence
turn,"…を回す,を回転させる / 〈角など〉を曲がる / …をひっくり返す / …の向きを変える / …を変化させる / (何かを軸・中心にして)回る,回転する / 《…に》進路を変える《to, toward ...》",Please turn off the lights before leaving.
TV,television,I watched TV for two hours last night.
twelve,"〈C〉(数の)12;12の記号(12,XIIなど) / 〈U〉12時,12分,12歳 / 《複数扱い》12人,12個 / 〈C〉12(12人,12個)一組のもの / 《the ~》(また[[Twelve Apostles]])キリストの12使徒 / 12の,12人の,12個の / 《補語にのみ用いて》12歳の(で)",There are twelve students in the classroom.
twenty,"〈C〉(数の)20;20の記号 / 〈U〉(24時間制の)20時,20分;20歳  / 〈U〉《複数扱い》20人,20個  / 〈C〉20(20人,20個)一組のもの  / 《the twenties》(世紀の)20年代;《one's twenties》(年齢の)20代  / 20の,20人の,20個の  / 《補語にのみ用いて》20歳の(で)",There are twenty students in the classroom.
two,"〈C〉(数の)2,2の記号  / 〈U〉2時,2分;2歳  / 《複数扱い》二人;2個  / 〈C〉二つ(二人,2個)1組のもの  / 〈C〉(カードゲーム)2の札,(さいころの)2の目  / 2の;二人の;二つの,2個の  / 《補語にのみ用いて》2歳の(で)",I have two cats.
type,"〈C〉(…の)型,タイプ,類型,種類(kind)《+of+名》  / 〈C〉(その種類の特質を最もよく表している)典型,手本,模範《+of+名》  / 〈U〉《集合的に》活字;〈C〉(1個の)活字  / 〈U〉(印刷された)字体,活字  / 〈C〉(貨幣・メダルなどの)模様,図柄  / 〈C〉血液型(blood group)",There are many types of music.
ugly,"(外見・容ぼうが)醜い,ぶかっこうな  / 不快な,いやな(disagreeable)  / (道徳的に)悪い,ひんしゅくを買う  / (天侯・事態などが)険悪な,荒れ模様の  / 《話》不きげんな;気むずかしい;けんか好きな:",This is an ugly dress.
umbrella,"〈C〉傘 / (一般に,傘状の)保護物,影響力 / 包括するもの, 包括的組織",I took my umbrella with me to keep dry.
uncle,"『おじ』 / おばの夫 / 《話》(年輩者に)おじさん,おっさん",My uncle is a doctor.
under,"《下方の場所・位置》『…の下に』,に覆われて  / 《内部の位置》『…の内側に』,の下に  / (重荷・苦痛など)『を負って』,に圧迫されて  / (支配・保護・影響など)『…を受けて』,のもとで,の状態で  / 《受動状態の継続》『…中』  / (分類項目)『の中に』,に属して  / (地位・数量などが)『…に劣る』,より下の  / (行動などの基準)に従って,基づいて",The cat is sleeping under the table.
underline,"(強調または斜体字を示す)下線,アンダーライン",I used an underline to emphasize an important word in my essay.
until,"《継続の期限》...まで, …までずっと  / 《否定語の後に》…まではしない,…になって初めて…する",Wait until tomorrow morning.
up,"《移動・位置》『…の高いほうへ』,をのぼって;…の上のほうに / (川の)『上流へ』;(流れ・風)に逆らって;…の内陸(奥地)のほうへ / (自分が今いる所,またはある地点から前方へ)『…に沿って』",He climbed up the ladder to reach the top shelf.
us,"《we の目的格》我々を(に),私たちを(に)",We are proud of us.
use,〈他〉(道具など) を使う / を費やす / 《副詞を伴って》 (人など) を扱う,I use a computer every day.
usually,"普通は,通例,通常,いつもは",He usually wakes up at 6am.
vacation,"〈C〉《おもに米》休暇,休み(《英》holiday)  / 〈C〉〈U〉《文》(部屋・家・土地などを)明け渡すこと,立ちのき;辞職,退任《+of+名》",I'm planning to go on vacation to Hawaii.
vase,〈C〉花びん / (装飾用の)つぼ,The vase was filled with beautiful flowers.
vegetable,"〈C〉《複数形で》野菜,青物;野菜の食用になる部分  /〈U〉植物  / 〈C〉植物人間(脳の機能が冒され,呼吸・消化・排出機能などだけが健全に人間)  / 植物の,植物性の  / 野菜の  / 植物のような,単調な,活気のない",I love eating fresh vegetables.
very,"《副詞・形容詞・分詞形容詞を強めて》非常に,とても,たいへん,きわめて  / 《否定語と共に用いて》あまり,さほど,たいして(…でない)  / 《same, opposite, [one's]ownなどの前で》真に,まったく,ほんとうに  / 《古》まったくの,本物の,真の",He spoke very quietly.
video,〈U〉テレビの映像  / 〈C〉テレビ  / テレビ映像に関する  / ビデオテープの,I watched an interesting video last night.
visit,"(…への)訪問,見物《+to+名》;(…からの)訪問《+from+名》 / (…への)滞在,とう留《+at(in)+名〈場所〉,+with(to)+名〈人〉》",I'm planning a visit to my hometown next month.
visit,"〈人〉'を'訪問する,尋ねる  / …'を'見物に行く,見に行く  / 〈人〉‘の'客となる,家に滞在する  / (視察などのため)〈場所〉'を'訪れる,‘に'行く  / 《受動態で》《文》〈病気.災害などが〉…‘を'襲う,‘に'降り掛かる;〈考えなどが〉…〈に〉浮かぶ  / (…を)訪問する,見物する;《米》(…に)滞在する《+at(in)+名〈場所〉,+with +名〈人〉》  / 《米》(人と)おしゃべりする,雑談をする《+with+名〈人〉》",I want to visit my friend tomorrow.
volleyball,"〈U〉バレーボール,排球  / 〈C〉バレーボール用のボール",I played volleyball with my friends today.
vote,"〈C〉票 / 投票 / 《...に関する》(投票・挙手などによる）決定《on, about ...》 / 投票権",We all have an equal right to vote.
wait,"待つ  / 〈事が〉そのままにしておける,延期できる  / (期待して)〈機会・合図など〉‘を'待ち受ける,待機する  / 《話》(人や物を待って)…‘を'遅らせる",I will wait for you here.
waiter,"(料理店などの)給仕人,ウエーター  / (食物を運ぶ)給仕盆",The diner had an efficient waiter.
waitress,"(レストランなどの)女給仕人,ウエートレス",The waitress served us the drinks.
wake,〈自〉目を覚ます / 〈他〉〈人〉の目を覚まさせる,I woke up early in the morning.
walk,"歩くこと,歩行  / 散歩,遠足  / 歩行距離,道のり  / 歩道,散歩道,遊歩道  / (特徴をもった)湾き方,歩きぶり",I enjoy taking a walk in the park every morning.
walk,"《様態・方向を表す副詞[句]を伴って》歩く,歩いて行く / 散歩をする,ぶらつく / (特定の態度で)ふるまう,生きる / (野球で)フォアボールで一塁に出る / (バスケットボールで)(パス・ドリブルしないで)3歩以歩く / 〈場所・道など〉‘を'歩く / 〈動物〉‘を'歩かせる;〈人〉‘と'いっしょに歩く,‘を'案内する / 〈時間〉‘を'歩いて費やす《+away+名,+名+away》 / (野球で投手がフォアボールを与えて)〈打者〉‘を'一塁に歩かせる",I usually walk to work in the morning.
wall,"〈C〉(石・れんがなどの)壁,へい  / {U}(胃などの)内壁,内側  / 〈C〉(…の)壁[のようなもの]《+of+名》",The wall was painted white.
want,"〈他〉を欲する, を望む / ...したいと思う / ...を必要とする / 〈人・物が〉…を欠いている / 〈自〉困窮する / 《…に》欠ける, 必要とする《for ...》 /",I want a new car.
war,"〈U〉戦争,戦争状態;交戦期間;〈C〉(個々の)戦争  / 〈U〉(ある特定の目的のための)争い,戦い,闘争;〈C〉(個々の)争い  / (…と)戦争をする,戦う,争う《+with(against)+名》",The war caused a lot of destruction.
warm,"暖かい,思いやりのある / 興奮した / 暖色の / 生々しい",The warm sun was shining through the window.
was,"[[am]], [[is]]の過去形 / [[be]]の仮定法過去",I was happy to see her.
wash,洗濯 / 洗面 / 洗浄,I need to do the wash today.
wash,"…‘を'洗う,洗濯する  / 〈汚れ・しみなど〉‘を'洗い落とす《+名+away(off, out),+away(off, out)+名》;(…から)…‘を'洗い落とす《+名+off(out of)+名》  / 〈人・舟・家屋など〉‘を'洗い流す,押し流す《+名+away(along,down,up),+away(along,down,up)+名》,(…から)…‘を'洗い流す《+名+off(away from)+名》  / 〈波などが〉〈岸など〉‘を'洗う,‘に'打ち寄せる;〈雨などが〉…‘を'ぬらす,うるおす  / (塗料などで)…‘を'薄く塗る;…‘を'メッキする《+名+with+名》",I wash my clothes every week.
watch,"〈C〉時計,見張り",I always wear a watch so I can keep track of the time.
watch,"〈他〉じっと見る,世話する,注意する",I love to watch movies on the weekends.
water,"〈U〉水  / 《しばしば複数形で》海(湖,川)の水  / 《複数形で》流れる水;《海・川・湖などの》波立つ水《of ...》  / 《複数形で》(特定の)水域,領海,近海  / 〈U〉潮位,水位;《the》水面  / 〈U〉分泌液(涙・汗・尿など)  / 〈U〉溶液,…水  / 《複数形で》(飲用の)鉱泉水  / 〈U〉(織物・金属などの)波紋",I drank a glass of water.
way,"〈C〉《...へ向かう》道, 通り道, 《...への》道筋《to ...》 / 方向, 方角 / 〈U〉《しばしば形容詞とともに》やり方, 方法, 手段",We must find a way to succeed.
we,私たちは,We are going to the park today.
wear,〈他〉〈服・装飾品など〉を身につけている / 〈ある表情・態度など〉を示している / (使用して)…をすり減らす / 〈自〉すり減る / 〈品物などが〉長もちする /,I wear my new clothes to the party.
weather,"天気, 天候 / あらし, 悪天候 /",The weather today is sunny.
Wednesday,水曜日(《略》Wed.),I will have a meeting on Wednesday.
week,"〈C〉週,(ある日からの)1週間  / (また working week, work week)《a~,the~》(1週間の中の)就業日 , 平日(土日を除いた週) / 〈U〉《Wee》(特定の催しが行われる)週間",I'm looking forward to next week.
weekend,週末(通例金曜日の夕方から日曜日の夜まで);週末休暇  / 週末の  / 《状態・場所を表す副詞[句]を伴って》週末を過ごす;週末旅行をする,I'm looking forward to the weekend.
welcome,《…へ》ようこそ;いらっしゃい《to ...》,Welcome to our restaurant!
welcome,"〈人〉を出迎える,〈人〉に出迎えのあいさつをする / 《...へ》〈人〉を歓迎する,喜んで迎える《to ...》 / 〈提案など〉を受け入れる",Welcome to our home!
well,"《おもに補語に用いて》『健康な』, 元気な, じょうぶな / 《複語にのみ用いて》『好都合の』,都合の良い, 満足すべき,申し分のない",She is well and can go back to work.
